year,gender,crime_id,AgeGroup,Count
2020,female,9,55 and over,153
2021,female,9,55 and over,149
2010,male,6,Under 18 years,124
2011,male,6,Under 18 years,131
2012,male,6,Under 18 years,121
2013,male,6,Under 18 years,86
2014,male,6,Under 18 years,71
2015,male,6,Under 18 years,69
2016,male,6,Under 18 years,51
2017,male,6,Under 18 years,46
2018,male,6,Under 18 years,40
2019,male,6,Under 18 years,58
2020,male,6,Under 18 years,49
2021,male,6,Under 18 years,45
2010,female,6,Under 18 years,196
2011,female,6,Under 18 years,203
2012,female,6,Under 18 years,176
2013,female,6,Under 18 years,136
2014,female,6,Under 18 years,112
2015,female,6,Under 18 years,102
2016,female,6,Under 18 years,101
2017,female,6,Under 18 years,90
2018,female,6,Under 18 years,66
2019,female,6,Under 18 years,65
2020,female,6,Under 18 years,69
2021,female,6,Under 18 years,68
2010,male,6,18-24 years,46
2011,male,6,18-24 years,45
2012,male,6,18-24 years,54
2013,male,6,18-24 years,56
2014,male,6,18-24 years,51
2015,male,6,18-24 years,61
2016,male,6,18-24 years,51
2017,male,6,18-24 years,33
2018,male,6,18-24 years,37
2019,male,6,18-24 years,52
2020,male,6,18-24 years,44
2021,male,6,18-24 years,39
2010,female,6,18-24 years,66
2011,female,6,18-24 years,91
2012,female,6,18-24 years,74
2013,female,6,18-24 years,83
2014,female,6,18-24 years,79
2015,female,6,18-24 years,59
2016,female,6,18-24 years,69
2017,female,6,18-24 years,67
2018,female,6,18-24 years,59
2019,female,6,18-24 years,49
2020,female,6,18-24 years,41
2021,female,6,18-24 years,42
2010,male,6,25-34 years,44
2011,male,6,25-34 years,42
2012,male,6,25-34 years,51
2013,male,6,25-34 years,46
2014,male,6,25-34 years,58
